logAggregationStatus,runningContainers,allocatedVCores,clusterId,jobId,amContainerLogs,submissionTime,finalStatus,startedTime,numCompletedTasks,queueUsagePercentage,numCompletedStages,finishedTime,numAMContainerPreempted,numSkippedStages,preemptedResourceVCores,id,priority,unmanagedApplication,state,numNonAMContainerPreempted,progress,trackingUI,status,preemptedResourceMB,memorySeconds,numFailedStages,elapsedTime,trackingUrl,allocatedMB,completionTime,numSkippedTasks,clusterUsagePercentage,numActiveTasks,amHostHttpAddress,amNodeLabelExpression,numFailedTasks,applicationTags,name,numActiveStages,queue,vcoreSeconds,applicationType,diagnostics,numTasks,user
NOT_START,-1,-1,1509436254805,5,http://hdp204.cancer.com:8042/node/containerlogs/container_e03_1509343490195_0026_01_000001/root,2017-10-31T05:43:19.218GMT,SUCCEEDED,1509428576169,8,0.0,2,1509428601476,0,0,0,application_1509343490195_0026,0,False,FINISHED,0,100.0,History,SUCCEEDED,0,141694,0,25307,http://hdp203.cancer.com:8088/proxy/application_1509343490195_0026/,-1,2017-10-31T05:43:19.382GMT,0,0.0,0,hdp204.cancer.com:8042,,0,,SimpleTextClassificationPipeline,0,spark,55,SPARK,null,8,root
NOT_START,-1,-1,1509436254805,4,http://hdp204.cancer.com:8042/node/containerlogs/container_e03_1509343490195_0026_01_000001/root,2017-10-31T05:43:19.028GMT,SUCCEEDED,1509428576169,8,0.0,2,1509428601476,0,0,0,application_1509343490195_0026,0,False,FINISHED,0,100.0,History,SUCCEEDED,0,141694,0,25307,http://hdp203.cancer.com:8088/proxy/application_1509343490195_0026/,-1,2017-10-31T05:43:19.190GMT,0,0.0,0,hdp204.cancer.com:8042,,0,,SimpleTextClassificationPipeline,0,spark,55,SPARK,null,8,root
NOT_START,-1,-1,1509436254805,3,http://hdp204.cancer.com:8042/node/containerlogs/container_e03_1509343490195_0026_01_000001/root,2017-10-31T05:43:18.877GMT,SUCCEEDED,1509428576169,8,0.0,2,1509428601476,0,0,0,application_1509343490195_0026,0,False,FINISHED,0,100.0,History,SUCCEEDED,0,141694,0,25307,http://hdp203.cancer.com:8088/proxy/application_1509343490195_0026/,-1,2017-10-31T05:43:19.001GMT,0,0.0,0,hdp204.cancer.com:8042,,0,,SimpleTextClassificationPipeline,0,spark,55,SPARK,null,8,root
NOT_START,-1,-1,1509436254805,2,http://hdp204.cancer.com:8042/node/containerlogs/container_e03_1509343490195_0026_01_000001/root,2017-10-31T05:43:18.638GMT,SUCCEEDED,1509428576169,8,0.0,2,1509428601476,0,0,0,application_1509343490195_0026,0,False,FINISHED,0,100.0,History,SUCCEEDED,0,141694,0,25307,http://hdp203.cancer.com:8088/proxy/application_1509343490195_0026/,-1,2017-10-31T05:43:18.847GMT,0,0.0,0,hdp204.cancer.com:8042,,0,,SimpleTextClassificationPipeline,0,spark,55,SPARK,null,8,root
NOT_START,-1,-1,1509436254805,1,http://hdp204.cancer.com:8042/node/containerlogs/container_e03_1509343490195_0026_01_000001/root,2017-10-31T05:43:18.166GMT,SUCCEEDED,1509428576169,8,0.0,2,1509428601476,0,0,0,application_1509343490195_0026,0,False,FINISHED,0,100.0,History,SUCCEEDED,0,141694,0,25307,http://hdp203.cancer.com:8088/proxy/application_1509343490195_0026/,-1,2017-10-31T05:43:18.561GMT,0,0.0,0,hdp204.cancer.com:8042,,0,,SimpleTextClassificationPipeline,0,spark,55,SPARK,null,8,root
NOT_START,-1,-1,1509436254805,0,http://hdp204.cancer.com:8042/node/containerlogs/container_e03_1509343490195_0026_01_000001/root,2017-10-31T05:43:15.302GMT,SUCCEEDED,1509428576169,8,0.0,2,1509428601476,0,0,0,application_1509343490195_0026,0,False,FINISHED,0,100.0,History,SUCCEEDED,0,141694,0,25307,http://hdp203.cancer.com:8088/proxy/application_1509343490195_0026/,-1,2017-10-31T05:43:17.753GMT,0,0.0,0,hdp204.cancer.com:8042,,0,,SimpleTextClassificationPipeline,0,spark,55,SPARK,null,8,root
NOT_START,-1,-1,1509436254805,12,http://hdp204.cancer.com:8042/node/containerlogs/container_e03_1509343490195_0025_01_000001/root,2017-10-31T05:42:30.246GMT,SUCCEEDED,1509428519787,6,0.0,1,1509428550836,0,0,0,application_1509343490195_0025,0,False,FINISHED,0,100.0,History,SUCCEEDED,0,181930,0,31049,http://hdp203.cancer.com:8088/proxy/application_1509343490195_0025/,-1,2017-10-31T05:42:30.540GMT,0,0.0,0,hdp204.cancer.com:8042,,0,,SimpleTextClassificationPipeline,0,spark,71,SPARK,null,6,root
NOT_START,-1,-1,1509436254805,11,http://hdp204.cancer.com:8042/node/containerlogs/container_e03_1509343490195_0025_01_000001/root,2017-10-31T05:42:29.740GMT,SUCCEEDED,1509428519787,8,0.0,2,1509428550836,0,0,0,application_1509343490195_0025,0,False,FINISHED,0,100.0,History,SUCCEEDED,0,181930,0,31049,http://hdp203.cancer.com:8088/proxy/application_1509343490195_0025/,-1,2017-10-31T05:42:29.895GMT,0,0.0,0,hdp204.cancer.com:8042,,0,,SimpleTextClassificationPipeline,0,spark,71,SPARK,null,8,root
NOT_START,-1,-1,1509436254805,10,http://hdp204.cancer.com:8042/node/containerlogs/container_e03_1509343490195_0025_01_000001/root,2017-10-31T05:42:29.570GMT,SUCCEEDED,1509428519787,8,0.0,2,1509428550836,0,0,0,application_1509343490195_0025,0,False,FINISHED,0,100.0,History,SUCCEEDED,0,181930,0,31049,http://hdp203.cancer.com:8088/proxy/application_1509343490195_0025/,-1,2017-10-31T05:42:29.712GMT,0,0.0,0,hdp204.cancer.com:8042,,0,,SimpleTextClassificationPipeline,0,spark,71,SPARK,null,8,root
NOT_START,-1,-1,1509436254805,9,http://hdp204.cancer.com:8042/node/containerlogs/container_e03_1509343490195_0025_01_000001/root,2017-10-31T05:42:29.382GMT,SUCCEEDED,1509428519787,8,0.0,2,1509428550836,0,0,0,application_1509343490195_0025,0,False,FINISHED,0,100.0,History,SUCCEEDED,0,181930,0,31049,http://hdp203.cancer.com:8088/proxy/application_1509343490195_0025/,-1,2017-10-31T05:42:29.535GMT,0,0.0,0,hdp204.cancer.com:8042,,0,,SimpleTextClassificationPipeline,0,spark,71,SPARK,null,8,root
